x, y
1753.6231884057984, 5032.720314846256
3985.507246376812, 5195.057961099013
8130.434782608695, 4951.5514917198825
11637.68115942029, 4708.045022340748
16101.44927536232, 4302.200906708862
20405.797101449276, 3815.187967950603
23753.6231884058, 3652.850321697851
27739.130434782608, 3571.681498571473
31724.63768115942, 3652.850321697851
33797.10144927537, 3490.512675445095
37782.60869565217, 3328.1750291923436
41927.53623188406, 3409.343852318717
44159.420289855065, 3409.343852318717
48304.347826086945, 3409.343852318717
52130.4347826087, 3490.512675445095
55637.68115942028, 3409.343852318717
58507.24637681159, 3490.512675445095
61217.391304347824, 3490.512675445095
63608.6956521739, 3490.512675445095
67115.94202898552, 3328.1750291923436
69826.08695652173, 3084.6685598132135
72855.07246376811, 3003.499736686831
76681.15942028986, 3003.499736686831
80188.40579710144, 3165.8373829395873
83217.39130434782, 3490.512675445095
86724.63768115944, 3409.343852318717
90072.46376811594, 3571.681498571473
93739.13043478261, 3571.681498571473
97884.05797101451, 3652.850321697851
101550.72463768117, 3328.1750291923436
105695.65217391305, 3328.1750291923436
110318.84057971014, 3328.1750291923436
113985.50724637682, 3247.0062060659607
118130.4347826087, 3815.187967950603
120362.31884057973, 4302.200906708862
122913.04347826088, 5032.720314846256
124985.50724637682, 5600.902076730894
127695.65217391305, 5519.73325360452